id,keyword,count
0,Trump Donald J,296
1,United States Politics and Government,265
2,United States International Relations,94
3,Politics and Government,82
4,International Trade and World Market,72
5,New York City,71
6,Real Estate and Housing (Residential),65
7,Russian Interference in 2016 US Elections and Ties to Trump Associates,48
8,Customs (Tariff),48
9,Crossword Puzzles,46
10,Television,45
11,United States,44
12,Republican Party,44
13,Women and Girls,44
14,Gun Control,42
15,Russia,40
16,Appointments and Executive Changes,40
17,Social Media,36
18,Democratic Party,35
19,United States Economy,35
20,Blacks,33
21,Education (K-12),32
22,Presidential Election of 2016,32
23,Facebook Inc,31
24,New York Times,31
25,School Shootings and Armed Attacks,30
26,China,29
27,North Korea,29
28,Putin Vladimir V,28
29,Parkland Fla Shooting (2018),28
30,Computers and the Internet,28
31,Photography,26
32,Books and Literature,26
33,News and News Media,25
34,Theater,25
35,Parenting,24
36,Demonstrations Protests and Riots,24
37,Labor and Jobs,24
38,Kim Jong-un,23
39,Great Britain,23
40,Children and Childhood,22
41,Elections House of Representatives,21
42,Protectionism (Trade),21
43,Midterm Elections (2018),21
44,Art,21
45,Regulation and Deregulation of Industry,21
46,Immigration and Emigration,21
47,Steel and Iron,21
48,Travel and Vacations,21
49,Canada,20
50,Race and Ethnicity,20
51,Movies,20
52,Restaurants,20
53,Discrimination,20
54,House of Representatives,20
55,Cooking and Cookbooks,19
56,European Union,19
57,Mueller Robert S III,19
58,United States Defense and Military Forces,19
59,Vietnam War,18
60,Suits and Litigation (Civil),18
61,Nuclear Weapons,18
62,Adultery,18
63,Clifford Stephanie (1979- ),17
64,Cambridge Analytica,17
65,Senate,17
66,#MeToo Movement,17
67,Data-Mining and Database Marketing,16
68,Sexual Harassment,16
69,New York State,16
70,Law and Legislation,16
71,Wages and Salaries,15
72,Aluminum,15
73,Bolton John R,15
74,South Korea,15
75,State Department,14
76,Global Warming,14
77,Tillerson Rex W,14
78,Cuomo Andrew M,14
79,Lamb Conor J (1984- ),14
80,Special Prosecutors (Independent Counsel),14
81,Research,13
82,Cohen Michael D (1966- ),13
83,Deaths (Obituaries),13
84,Iran,13
85,Corruption (Institutional),13
86,Elections,13
87,Music,13
88,Federal Budget (US),13
89,Pennsylvania,13
90,Europe,13
91,Colleges and Universities,13
92,Deaths (Fatalities),13
93,Justice Department,12
94,Terrorism,12
95,Cohn Gary D,12
96,de Blasio Bill,12
97,Youth,12
98,Murders Attempted Murders and Homicides,12
99,National Rifle Assn,12
100,Diplomatic Service Embassies and Consulates,12
101,Families and Family Life,12
102,California,12
103,Assassinations and Attempted Assassinations,11
104,Defense and Military Forces,11
105,vis-photo,11
106,Espionage and Intelligence Services,11
107,Organized Labor,11
108,Polls and Public Opinion,11
109,Italy,11
110,Zuckerberg Mark E,11
111,Fashion and Apparel,11
112,Saccone Richard (1958- ),11
113,Pompeo Mike,11
114,Firearms,11
115,Elderly,11
116,Skripal Sergei V,11
117,Mental Health and Disorders,11
118,North American Free Trade Agreement,11
119,Diet and Nutrition,11
120,Colbert Stephen,11
121,Reading and Writing Skills (Education),10
122,Embargoes and Sanctions,10
123,Bannon Stephen K,10
124,Austin (Tex),10
125,Jews and Judaism,10
126,Voting and Voters,10
127,Academy Awards (Oscars),10
128,Museums,10
129,Elections Governors,10
130,Bombs and Explosives,10
131,Kimmel Jimmy,10
132,McMaster H R,10
133,Tax Cuts and Jobs Act (2017),10
134,International Relations,10
135,Sessions Jefferson B III,10
136,World Trade Organization,10
137,Poisoning and Poisons,10
138,Health Insurance and Managed Care,9
139,Vietnam,9
140,Bush George W,9
141,Illegal Immigration,9
142,Veterans,9
143,Genetics and Heredity,9
144,Police Brutality Misconduct and Shootings,9
145,Manhattan (NYC),9
146,Germany,9
147,Conditt Mark Anthony (1994-2018),9
148,Marjory Stoneman Douglas High School (Parkland Fla),9
149,Sex Crimes,9
150,Xi Jinping,9
151,NCAA Basketball Championships (Men),9
152,Noah Trevor (1984- ),9
153,Veterans Affairs Department,9
154,Refugees and Displaced Persons,9
155,Teachers and School Employees,9
156,Kushner Jared,9
157,Fallon Jimmy,9
158,Parkland (Fla),9
159,Exercise,8
160,War Crimes Genocide and Crimes Against Humanity,8
161,Age Chronological,8
162,Supreme Court (US),8
163,Population,8
164,Ethics and Official Misconduct,8
165,Homosexuality and Bisexuality,8
166,Cyberwarfare and Defense,8
167,Syria,8
168,Subways,8
169,Writing and Writers,8
170,Drugs (Pharmaceuticals),8
171,Venezuela,8
172,Shopping and Retail,8
173,Google Inc,8
174,Weather,8
175,May Theresa M,8
176,Mexico,8
177,Amazon.com Inc,7
178,Twitter,7
179,Privacy,7
180,Late Show with Stephen Colbert (TV Program),7
181,Central Intelligence Agency,7
182,Architecture,7
183,Weight,7
184,Stocks and Bonds,7
185,DeVos Elizabeth (1958- ),7
186,Federal Bureau of Investigation,7
187,O'Brien Conan,7
188,Federal Taxes (US),7
189,Renting and Leasing (Real Estate),7
190,Factories and Manufacturing,7
191,Mergers Acquisitions and Divestitures,7
192,Wines,7
193,Federal Reserve System,7
194,Nixon Cynthia,7
195,Comedy and Humor,7
196,Strikes,7
197,Campaign Finance,7
198,Dowd John M,7
199,West Virginia,7
200,Arms Control and Limitation and Disarmament,7
201,Basketball (College),7
202,Heart,7
203,Banking and Financial Institutions,7
204,Drug Abuse and Traffic,7
205,Palestinians,7
206,Iraq,7
207,Economic Conditions and Trends,7
208,Men and Boys,7
209,Opioids and Opiates,7
210,Israel,6
211,Carson Benjamin S,6
212,Muslims and Islam,6
213,Political Advertising,6
214,Birds,6
215,Inflation (Economics),6
216,Helicopters,6
217,Legal Profession,6
218,Mattis James N,6
219,Psychology and Psychologists,6
220,Biden Joseph R Jr,6
221,Affordable Housing,6
222,Anti-Semitism,6
223,Civilian Casualties,6
224,Five Star Movement (Italy),6
225,Food,6
226,Defense Department,6
227,The Daily Show with Trevor Noah (TV Program),6
228,Conservatism (US Politics),6
229,Consumer Protection,6
230,Workplace Environment,6
231,Pence Mike,6
232,McDougal Karen (1971- ),6
233,McCabe Andrew G,6
234,Saudi Arabia,6
235,Accidents and Safety,6
236,Anxiety and Stress,6
237,Recipes,6
238,Courts and the Judiciary,6
239,Video Recordings Downloads and Streaming,6
240,Japan,6
241,Montreal (Quebec),6
242,Nix Alexander,6
243,Automobiles,6
244,60 Minutes (TV Program),6
245,Australia,6
246,Flowers and Plants,6
247,Florida,6
248,Meyers Seth,6
249,Interior Design and Furnishings,6
250,United Nations,6
251,Shulkin David J,6
252,Teenagers and Adolescence,6
253,Prisons and Prisoners,6
254,Interest Rates,6
255,House Committee on Intelligence,6
256,Smartphones,5
257,Airlines and Airplanes,5
258,Abortion,5
259,Bribery and Kickbacks,5
260,Baseball,5
261,Bee Samantha,5
262,Trans-Pacific Partnership,5
263,Oil (Petroleum) and Gasoline,5
264,Newspapers,5
265,Poetry and Poets,5
266,Prices (Fares Fees and Rates),5
267,Walt Disney Company,5
268,Kogan Aleksandr,5
269,Agriculture and Farming,5
270,Supermarkets and Grocery Stores,5
271,Traffic Accidents and Safety,5
272,Ross Wilbur L Jr,5
273,Skripal Yulia S,5
274,Disabilities,5
275,Environmental Protection Agency,5
276,Myanmar,5
277,Endangered and Extinct Species,5
278,Navarro Peter,5
279,Mobile Applications,5
280,Productivity,5
281,Primaries and Caucuses,5
282,Online Advertising,5
283,Dogs,5
284,Medicine and Health,5
285,Hurricane Maria (2017),5
286,France,5
287,Credit and Debt,5
288,Snow and Snowstorms,5
289,Bakeries and Baked Products,5
290,Goldman Sachs Group Inc,5
291,Iraq War (2003-11),5
292,Advertising and Marketing,5
293,Lobbying and Lobbyists,5
294,Frauds and Swindling,5
295,Roman Catholic Church,5
296,States (US),5
297,Late Night with Seth Meyers (TV Program),5
298,Ethics (Personal),5
299,Aviation Accidents Safety and Disasters,5
300,Commerce Department,5
301,Islamic State in Iraq and Syria (ISIS),5
302,Design,5
303,Dating and Relationships,5
304,Education,5
305,Political Prisoners,5
306,Sacramento (Calif),5
307,Obesity,5
308,Jackson Ronny L,5
309,Human Rights and Human Rights Violations,5
310,Civil Rights Movement (1954-68),5
311,Mercer Robert (1946- ),5
312,Hospitals,5
313,Liberalism (US Politics),5
314,Corden James (1978- ),5
315,Quebec Province (Canada),5
316,National Economic Council (US),5
317,Trump Melania,5
318,Johnson Lyndon Baines,5
319,Housing and Urban Development Department,5
320,Public and Subsidized Housing,5
321,Rohingya (Ethnic Group),5
322,Addiction (Psychology),5
323,Elections Senate,5
324,Presidential Election of 1968,5
325,Secession and Independence Movements,5
326,Vegetables,5
327,Texas,5
328,Citizenship and Naturalization,5
329,Africa,4
330,Clark Stephon (1995-2018),4
331,Pornography,4
332,Gender,4
333,East River (NYC),4
334,E-Commerce,4
335,Taxation,4
336,Government Employees,4
337,Full Frontal With Samantha Bee (TV Program),4
338,Mohammed bin Salman (1985- ),4
339,Doctors,4
340,Rumors and Misinformation,4
341,Arbitration Conciliation and Mediation,4
342,Schumer Charles E,4
343,Biological and Chemical Warfare,4
344,Netanyahu Benjamin,4
345,Biographical Information,4
346,Macron Emmanuel (1977- ),4
347,Obama Barack,4
348,Interior Department,4
349,McGahn Donald F II,4
350,Income Inequality,4
351,Artificial Intelligence,4
352,Here and Now (TV Program),4
353,Depression (Mental),4
354,Border Barriers,4
355,SCL Group,4
356,Brennan John O,4
357,Podcasts,4
358,Child Abuse and Neglect,4
359,Census,4
360,Pregnancy and Childbirth,4
361,Opera,4
362,Clinton Hillary Rodham,4
363,Space and Astronomy,4
364,internal-national collaboration,4
365,Land Use Policies,4
366,Fires and Firefighters,4
367,The Alienist (TV Program),4
368,Hicks Hope C (1988- ),4
369,Influenza,4
370,Documentary Films and Programs,4
371,Education Department (US),4
372,Ryan Paul D Jr,4
373,Homeless Persons,4
374,Area Planning and Renewal,4
375,Babies and Infants,4
376,Instagram Inc,4
377,Women's Rights,4
378,Assad Bashar al-,4
379,Loyola University Chicago,4
380,New Orleans (La),4
381,The Walking Dead (TV Program),4
382,Infrastructure (Public Works),4
383,San Francisco (Calif),4
384,Metropolitan Transportation Authority,4
385,The Assassination of Gianni Versace: American Crime Story (TV Program),4
386,Magazines,4
387,Holocaust and the Nazi Era,4
388,Comey James B,4
389,Kurds,4
390,Sleep,4
391,Kelly John F (1950- ),4
392,Decisions and Verdicts,4
393,King Martin Luther Jr,4
394,Trump Ivanka,4
395,Afghanistan,4
396,Voter Registration and Requirements,4
397,Greenhouse Gas Emissions,4
398,Freedom of Speech and Expression,4
399,Corporate Social Responsibility,4
400,Weinstein Harvey,4
401,Gardens and Gardening,4
402,Houston Astros,4
403,Hotels and Travel Lodgings,4
404,Wylie Christopher,4
405,Metropolitan Opera,4
406,Citigroup Inc,4
407,Washington (DC),4
408,Epidemics,4
409,Alcoholic Beverages,4
410,Bridges and Tunnels,4
411,Transit Systems,4
412,Emergency Medical Treatment,4
413,Police Department (NYC),4
414,Sex,4
415,State Legislatures,4
416,Poverty,4
417,Food and Drug Administration,4
418,Percoco Joseph,4
419,Whales and Whaling,4
420,Conflicts of Interest,4
421,Clifford Stephanie,4
422,Actors and Actresses,4
423,Cruz Nikolas,4
424,Bronx (NYC),4
425,United Arab Emirates,3
426,The Tonight Show (TV Program),3
427,JPMorgan Chase & Company,3
428,Presidential Election of 2020,3
429,Arizona,3
430,Deferred Action for Childhood Arrivals,3
431,Brooklyn (NYC),3
432,American Media Inc,3
433,Shutdowns (Institutional),3
434,Detainees,3
435,Kabul (Afghanistan),3
436,Prostitution,3
437,Brain,3
438,Midtown Area (Manhattan NY),3
439,Longevity,3
440,Berlusconi Silvio,3
441,Search and Seizure,3
442,Christians and Christianity,3
443,Shkreli Martin (1983- ),3
444,Executives and Management (Theory),3
445,Alito Samuel A Jr,3
446,Term Limits (Political Office),3
447,Native Americans,3
448,McConnell Mitch,3
449,Government Bonds,3
450,Ice,3
451,Arctic Regions,3
452,School Discipline (Students),3
453,Bankruptcies,3
454,Telephones and Telecommunications,3
455,Forests and Forestry,3
456,diGenova Joseph E,3
457,Oklahoma,3
458,Sugar,3
459,Environment,3
460,Fox News Channel,3
461,Freedom of the Press,3
462,Education (Pre-School),3
463,Home Repairs and Improvements,3
464,Immigration and Customs Enforcement (US),3
465,Memphis (Tenn),3
466,Northeastern States (US),3
467,Nassar Lawrence G (1963- ),3
468,Puerto Rico,3
469,Ghouta (Syria),3
470,Free Syrian Army,3
471,Acrostic Puzzles,3
472,Easter and Holy Week,3
473,Salman Noor Zahi,3
474,Brazil,3
475,Computer Security,3
476,Electric Light and Power,3
477,Budget Travel,3
478,Roseanne (TV Program),3
479,South Africa,3
480,Census Bureau,3
481,Trump Donald J Jr,3
482,Extortion and Blackmail,3
483,Moby-Dick (Book),3
484,Paleontology,3
485,Gaza Strip,3
486,House Committee on Appropriations,3
487,Personal Finances,3
488,Carbon Dioxide,3
489,Second Amendment (US Constitution),3
490,Spring (Season),3
491,Cocktails and Mixed Drinks,3
492,Lopez Leopoldo,3
493,Trudeau Justin,3
494,Media,3
495,Pain-Relieving Drugs,3
496,Religion and Belief,3
497,Driverless and Semiautonomous Vehicles,3
498,Pop and Rock Music,3
499,Probation and Parole,3
500,Cobb Ty,3
501,Pruitt Scott,3
502,Therapy and Rehabilitation,3
503,Scalia Antonin,3
504,Whitney Museum of American Art,3
505,Gorsuch Neil M,3
506,Kennedy Anthony M,3
507,Sotomayor Sonia,3
508,Colds,3
509,Unemployment,3
510,Get Out (Movie),3
511,Silicon Valley (Calif),3
512,Bedford-Stuyvesant (Brooklyn NY),3
513,National Aeronautics and Space Administration,3
514,Legislatures and Parliaments,3
515,National Security Council,3
516,Upper East Side (Manhattan NY),3
517,Turkey,3
518,Park Slope (Brooklyn NY),3
519,Evangelical Movement,3
520,Warren Elizabeth,3
521,Cameras,3
522,Constitution (US),3
523,Los Angeles (Calif),3
524,McCray Chirlane,3
525,Clean Air Act,3
526,Classical Music,3
527,Barr Roseanne,3
528,American Civil Liberties Union,3
529,YouTube.com,3
530,Work-Life Balance,3
531,Trump Organization,3
532,Private Equity,3
533,Broadcom Corporation,3
534,Animal Behavior,3
535,Michigan State University,3
536,Democracy (Theory and Philosophy),3
537,Noise,3
538,Powell Jerome H,3
539,New Jersey,3
540,Apple Inc,3
541,Real Estate (Commercial),3
542,Federal-State Relations (US),3
543,India,3
544,Immune System,3
545,Hate Crimes,3
546,Transgender and Transsexuals,3
547,Presidents and Presidency (US),3
548,Kasowitz Marc E,3
549,Monasteries and Monks,3
550,Hockey Ice,3
551,Qualcomm Inc,3
552,Conservation of Resources,3
553,Basketball,3
554,Black Holes (Space),3
555,National Enquirer,3
556,Chefs,3
557,Chicago (Ill),3
558,Medicare,3
559,Tax Credits Deductions and Exemptions,3
560,Hawking Stephen W,3
561,Houston (Tex),3
562,Schneiderman Eric T,3
563,Hispanic-Americans,3
564,Omega-3 Fatty Acids,3
565,Careers and Professions,3
566,Manafort Paul J,3
567,Muscles,3
568,Delivery Services,3
569,Philadelphia (Pa),3
570,Cooper Anderson,3
571,Bars and Nightclubs,3
572,Athletics and Sports,3
573,Budgets and Budgeting,3
574,London (England),3
575,Middle East,3
576,Egypt,3
577,Football,3
578,Royal Families,3
579,Education Department (NYC),3
580,Physics,3
581,Palestinian Authority,3
582,Corporate Taxes,3
583,Pennsylvania Station (Manhattan NY),3
584,Grandparents,3
585,ABC Inc,3
586,Paralympic Games,3
587,Brown Edmund G Jr,3
588,Netflix Inc,3
589,Workplace Hazards and Violations,3
590,Air Pollution,3
591,Redistricting and Reapportionment,3
592,Funerals and Memorials,3
593,Boeing Company,3
594,Mateen Omar (1986-2016),3
595,Moon Jae-in,3
596,Torture,3
597,vis-multimedia,3
598,Pew Research Center,2
599,English Language,2
600,Ducks,2
601,Coughs,2
602,Black Panther (Movie),2
603,Letters,2
604,Democratic Party (Italy),2
605,Mediterranean Sea,2
606,Satellites,2
607,Gates Richard W III (1972- ),2
608,Marriages,2
609,Luxury Goods and Services,2
610,Kurdistan Workers' Party,2
611,Hamas,2
612,Liquor,2
613,Macedonia,2
614,Qatar,2
615,Ingham County (Mich),2
616,Furniture,2
617,Sisi Abdel Fattah el-,2
618,Pyeongchang (South Korea),2
619,Baton Rouge (La),2
620,Pensions and Retirement Plans,2
621,Humphrey Hubert H Jr,2
622,Louis Vuitton,2
623,Indigenous People,2
624,Volunteers and Community Service,2
625,Pecker David J,2
626,Genealogy,2
627,Stars and Galaxies,2
628,Dolores-Schmidt Jean,2
629,Archives and Records,2
630,Pelosi Nancy,2
631,Atlanta (Ga),2
632,Civil War (US) (1861-65),2
633,Suicides and Suicide Attempts,2
634,Atlantic Monthly,2
635,Carlson Tucker,2
636,Broidy Elliott,2
637,Hospice Care,2
638,Language and Languages,2
639,Kemerovo (Russia),2
640,Tips and Tipping,2
641,Nuclear Tests,2
642,Federal Communications Commission,2
643,National Institutes of Health,2
644,Suburbs,2
645,Nunes Devin G,2
646,League (Italian Political Party),2
647,Virginia,2
648,People's Protection Units (YPG),2
649,Caribbean Area,2
650,Dallas (Tex),2
651,Corbyn Jeremy (1949- ),2
652,BlackRock Inc,2
653,Samsung Group,2
654,Panama City (Panama),2
655,Passover,2
656,East Village (Manhattan NY),2
657,Michigan,2
658,Missiles and Missile Defense Systems,2
659,Salads,2
660,Indonesia,2
661,Immigration Detention,2
662,Committee on Foreign Investment in the United States (CFIUS),2
663,Fedex Corporation,2
664,Culture (Arts),2
665,La Torre Winery (Montalcino Italy),2
666,Carvalho Alberto M,2
667,Strampel William D,2
668,Senate Committee on Intelligence,2
669,Panama,2
670,The Americans (TV Program),2
671,Hungary,2
672,Chang David (Chef),2
673,Labour Party (Great Britain),2
674,Nader George A (1959- ),2
675,Social Conditions and Trends,2
676,Kagan Elena,2
677,Cullman Trip,2
678,Mayors,2
679,Sustainable Living,2
680,Morawiecki Mateusz,2
681,Nuclear Energy,2
682,Spielberg Steven,2
683,Car Services and Livery Cabs,2
684,Paris (France),2
685,Whites,2
686,Airports,2
687,Death and Dying,2
688,Offshore Drilling and Exploration,2
689,American Federation of Labor-Congress of Industrial Organizations,2
690,Divorce Separations and Annulments,2
691,Millennial Generation,2
692,Roads and Traffic,2
693,Hygiene and Cleanliness,2
694,Drivers Licenses,2
695,National Collegiate Athletic Assn,2
696,Roberts John G Jr,2
697,Mountaineering,2
698,Segregation and Desegregation,2
699,Water Pollution,2
700,Nadeau-Dubois Gabriel,2
701,Becerra Xavier,2
702,Pflugerville (Tex),2
703,Exxon Mobil Corp,2
704,Pulse (Orlando Fla Nightclub),2
705,Mnuchin Steven T,2
706,Witnesses,2
707,Bonuses,2
708,Staten Island (NYC),2
709,Everytown for Gun Safety,2
710,Maduro Nicolas,2
711,Customs and Border Protection (US),2
712,Krim Lucia,2
713,Autor David,2
714,Vaccination and Immunization,2
715,Beijing (China),2
716,Kushner Tony,2
717,The Shape of Water (Movie),2
718,Waiters and Waitresses,2
719,Nezet-Seguin Yannick,2
720,Dream Act (Development Relief and Education for Minors Act),2
721,Latin America,2
722,New York Mets,2
