state,count
Vermont,678
Georgia,365
Iowa,381
Kansas,270
Florida,2249
Virginia,1177
North Carolina,636
Hawaii,136
New York,7840
California,4200
Alabama,163
Idaho,315
Delaware,121
Alaska,100
Illinois,556
South Dakota,24
Connecticut,764
Nebraska,57
Massachusetts,1453
New Hampshire,367
Maryland,1088
New Mexico,328
Mississippi,55
Tennessee,543
Colorado,1464
New Jersey,2577
Utah,124
Michigan,1270
West Virginia,13
Washington,512
Minnesota,484
Oregon,880
State,count
Wyoming,59
Ohio,810
South Carolina,143
Indiana,327
Nevada,74
Louisiana,277
Arizona,568
Wisconsin,566
North Dakota,41
Pennsylvania,854
Oklahoma,230
Kentucky,144
Rhode Island,163
Montana,192
Arkansas,72
Missouri,127
Texas,1835
Maine,796